date,return
2025-10-15,0.4350886200
2025-10-16,0.4151120571
2025-10-17,-0.0117028705
2025-10-18,-0.0222148875
2025-10-19,0.2467142646
2025-10-20,0.0292510684
2025-10-21,-0.3092751896
2025-10-22,0.0234163842
2025-10-23,-0.1830634564
2025-10-24,-0.2344925174
2025-10-25,0.5689710679
2025-10-26,-0.0614210417
2025-10-27,0.6336713061
2025-10-28,-0.0338310941
2025-10-29,0.3111743881
2025-10-30,0.0603252431
2025-10-31,0.1612001202
2025-11-01,0.0549135809
2025-11-02,0.1943733541
2025-11-03,-0.0169218036
2025-11-04,0.1942465076
2025-11-05,0.2736455470
2025-11-06,0.0907532405
2025-11-07,0.3082531056
2025-11-08,0.1283711490
2025-11-09,-0.0100272676
2025-11-10,0.0294634775
2025-11-11,0.1043634619
2025-11-12,-0.0308547031
2025-11-13,-0.0095609772
2025-11-14,0.0463573958
