date,total_equity_usd
2025-08-28,3037.30
2025-08-29,2995.25
2025-09-01,2996.05
2025-09-02,2976.20
2025-09-03,2969.35
2025-09-04,2914.55
2025-09-05,2944.15
2025-09-10,2914.80
2025-09-11,2961.80
2025-09-12,2968.40
2025-09-16,2993.00
2025-09-17,2974.40
2025-09-18,3065.90
2025-09-19,3009.50
2025-09-22,3107.75
2025-09-23,3084.55
2025-09-24,3049.45
2025-09-25,3051.50
2025-09-26,3032.55
2025-10-01,3008.90
2025-10-06,3115.45
2025-10-07,3140.30
2025-10-08,3288.40
2025-10-09,3277.55
2025-10-10,3141.75
2025-10-14,3239.05
2025-10-21,3441.10
2025-10-22,3285.00
2025-10-27,3492.20
2025-10-28,3518.90
2025-10-29,3547.65
2025-11-06,3601.70
2025-11-07,3608.55
2025-11-10,3779.75
2025-11-14,3732.25
2025-11-17,3754.75
2025-11-18,3779.25
2025-11-20,3650.25
